56784548118040408564922541143051473154516477, 8002962161268336481586745524570663172558477450
791000581801037230028745866599744822724532676, 4850184969054429097216956185599687711412932862155
49015829826934753373908228710560428831020103120603, 326244683137483317278283530647140611839398067
1921592002529020985334533954801177385431136857167874, 1200847363083916772559722075590601950489211487
356247345723818586987654032289185321515087547, 113844213766471724586109629786528403603383810970471765
348282504947642938834547055540564431016747532936131812, 975146563578648593620634838537402467233241717163518515
2531506203023792719078672844652574623505190696457666071, 6156749161940628256153904067722511819010562421218366273
14145439965600760459016390298248748532415099794692483008, 30913471070272792672955811318502480667267736444846234084
1240063103766012982212301007505020152906786680, 129861588282402706987159040238231000093397540608485293242
18268116404258520379647982896568950722289424, 472915466782338576796278406189065470266255227983244759990
862593713598325018850079939327770669672306225554005262240, 45701476845809404903753813823307775021864911
2655940034404803272657523508870761648609493160862790150584, 244890509040395876054886988018088064079224756
7476889423369987648659068313882968138435954335570666972807, 190971066769843128771291065559755815441787927
19501096146141578429206860930575301535559359237916279770191, 489403935360563132645619128537308300813239737
